,item,item_code
52629,حشدالشعبی,22107
53004,GN,2753
53008,NewProfilePic,5154
54150,استارتاپ,13499
54288,اکانت_ناامن,16488
54380,بهايى,18313
54409,بهونه,18437
54413,بيت_المال,18570
54423,توییت,20379
54537,جنگ_جهانی_دوم,21235
54548,جهیزیه,21368
54567,حقوق_بشر,22239
55097,داره_می‌ریزه,23607
55100,دبی,23885
55120,رشتو,25712
56431,ريتوييت_لطفا,26620
57143,زندگیو,27164
57149,سیمین_بهبهانی,29323
57229,ضدملی,31090
57235,علیرضا_شیرمحمدعلی,32203
57424,فتوشاپ,32939
57452,قطر,34227
57777,محمد_ثلاث,36080
58116,محمد_صفری,36147
58124,نه_به_حجاب_اجبارى,39749
58232,هوایی,40888
58504,چرنوبیل,43171
58601,کراش_یاب,43979
58608,گلوبال_هاوک,45071
58812,افغانستانی,14392
58895,انتخابات,15922
59369,تاآخرهستیم,18952
59381,فردوسی_پور,33139
59726,لوله,35071
59748,ماتکرارمیکنیم,35312
59758,ماهواره_دوستی,35585
59762,نامجو,39039
59893,گلزار,45051
59935,گیاهخواری,45249
59945,وگان,41654
59952,حیوانات,22602
59997,خوردن,23408
60001,ساروقهرمانی,27374
60058,Vimeo,7591
60095,اخلاقی,13052
60106,توحش,20204
60121,جنگ,21212
60845,خانه_پوشالی,22775
60851,سلامتی,28295
60891,سیگار,29360
61009,شیر,30600
61049,لاریجانی,34792
61359,لبنیات,34890
61378,لینک,35200
61386,مشهد,37274
61986,نماينده_سراوان,39612
62215,نماینده_مجلس,39649
62298,وگن,41655
62302,کتاب,43926
62679,کهگیلویه‌وبویراحمد,44456
62683,PeshawarLongMarch4Arman,5708
62703,StopHumiliatingPashtunWomen,6830
62708,PTMZindabad,5527
62723,Pakistan,5562
63029,ANDSF,286
63055,Afghanistan,396
63357,Afghans,398
63387,BeautifulAfghanistan,995
63394,ISI,3450
63410,LiesOfDGISPR,4372
63418,ManzoorPashteen,4626
63429,PPP,5479
63492,PTM,5512
63609,PashtunLongMarch4Arman,5635
63613,Taliban,7044
63703,army,8242
63715,sexualharassment,10724
63721,اول_مهر,16349
63752,سرکوب_اراک,28021
63758,IraniansWantIRIBban,3746
64061,IraniansWantRegimeChange,3750
64436,جاویدشاه,20732
64697,فرشید_هکی,33223
64779,محسن_رضایی,35980
65171,TodayVenezuelaTomorrowIran,7222
65184,iranianswantIRIBban,9625
65192,اسلام,13756
65574,اسماعیل_بخشی,13813
66436,اعتصاب16مهر,14168
66447,امام_آمد,15501
66466,ایران_برای_همه,16622
66477,جشنواره,20895
66522,جواد_ظریف,21388
66646,خشم_عمومى,23087
66649,خمینی,23237
67090,دزفول,24182
67261,راننده_تاکسی_پاکستانی,25394
67265,رزمایش_قطع_اینترنت,25607
67391,رشته_توییت,25707
68015,طویله_مجلس,31310
68023,فرشگرد,33215
68318,فریب_دشمن,33417
68347,قاراداغ,33895
68364,قیام_دی,34458
68393,محسن_عادلی,35989
68411,ملت_ایران,37726
68511,نشست_ورشو,39393
68717,هاشمی_رفسنجانی,40332
69067,هاشمی_شاهرودی,40336
69337,همه_برای_ایران,40748
69351,ونزوئلا,41605
69991,چهل_سال_دیکتاتوری,43348
70200,Burma,1244
70205,احمدی_نژاد,12967
70616,بهار,18287
70776,زمستان,26981
70844,ميانمار,38565
70859,Iran,3612
72393,IslamicRepublicNotIRAN,3811
72403,iran,9595
72885,آب,11458
73210,آنارشیسم,12212
73214,برق,17762
73361,خاک,22795
73464,خلیج_فارس,23212
73799,دریای_خزر,24162
73941,لطفا_ریتوییت,34978
73968,هفت‌تپه,40574
74133,کیر_تو_سروش,44676
74149,آذر,11664
74255,Kabul,4051
74382,AshrafGhani,655
74388,RIP,5944
74437,Barcelona,960
74474,Cristiano,1639
74477,Facebook,2356
74531,Florence,2482
74537,IEC,3352
74544,India,3519
74671,Journalist,3949
74679,Journalists,3950
74682,KABUL,4020
74689,Nike,5198
74709,PremierLeague,5797
74717,Report,6105
74723,Ronaldo,6215
74746,Security,6505
74769,Stop,6805
74785,UNAMA,7393
74791,UNSG,7412
74799,WorldBank,7907
74808,attack,8272
74820,dollars,8842
74825,migration,9970
74835,terrorism,11003
74922,treaty,11085
74925,اتحادیه‌اروپا,12732
74929,اسراییل,13743
75108,افغان,14388
75249,بدخشان,17501
75262,سبز_میمانیم,27642
75281,کازرون,43711
75642,اشتباه,13907
75677,به_عقب_برنمیگردیم,18249
